%time,field.header.seq,field.header.stamp,field.header.frame_id,field.UTM_x,field.UTM_y,field.UTM_z,field.GPSSpd,field.GPSAcc
1548567086580648712,132,1548567086580420590,base_link,683202.210797,3110765.35718,58.5432319641,0.160810694098,0.00102040811908
1548567086630654670,133,1548567086630414459,base_link,683202.209427,3110765.35894,58.5435791016,0.15994758904,0.00144307501614
1548567086680573459,134,1548567086680378078,base_link,683202.208065,3110765.36071,58.5439147949,0.166299954057,0.00962651148438
1548567086730798159,135,1548567086730402255,base_link,683202.206606,3110765.36256,58.5442657471,0.173324555159,0.00102040811908
1548567086780956676,136,1548567086780405681,base_link,683202.205055,3110765.36449,58.5445823669,0.179399192333,0.00520308129489
1548567086830904419,137,1548567086830444617,base_link,683202.203497,3110765.36642,58.5448570251,0.178435355425,0.00228170189075
1548567086881448243,138,1548567086880413819,base_link,683202.201953,3110765.36836,58.5451049805,0.1761187464,0.00594995124266
1548567086930790667,139,1548567086930403149,base_link,683202.223398,3110765.3471,58.5436325073,0.124535128474,0.00721537554637
1548567086980940999,140,1548567086980377752,base_link,683202.222414,3110765.34851,58.543888092,0.123528696597,0.00420725019649
1548567087030958732,141,1548567087030407515,base_link,683202.221414,3110765.34993,58.5441474915,0.128020241857,0.00510204071179
1548567087080702676,142,1548567087080409274,base_link,683202.220371,3110765.35143,58.5443649292,0.133417904377,0.00653380015865
1548567087130923228,143,1548567087130393362,base_link,683202.219312,3110765.353,58.5445518494,0.138752609491,0.00102040811908
1548567087184673331,144,1548567087180393016,base_link,683202.218181,3110765.3546,58.544719696,0.143143817782,0.00204081623815
1548567087230599531,145,1548567087230375166,base_link,683202.216981,3110765.35619,58.5448684692,0.145615234971,0.00204081623815
1548567087280561990,146,1548567087280402783,base_link,683202.215736,3110765.35779,58.5450439453,0.147140085697,0.00721537461504
1548567087330776764,147,1548567087330407131,base_link,683202.214467,3110765.3594,58.5452308655,0.145646348596,0.011037401855
1548567087380572306,148,1548567087380375257,base_link,683202.213233,3110765.361,58.5453643799,0.147215083241,0.0112707754597
1548567087430734810,149,1548567087430379805,base_link,683202.211989,3110765.36264,58.5454788208,0.148667559028,0.0045634037815
1548567087480602341,150,1548567087480410918,base_link,683202.210697,3110765.36427,58.5456085205,0.151718094945,0.00204081623815
1548567087532024548,151,1548567087530756576,base_link,683202.209356,3110765.36595,58.5457077026,0.15609818697,0.00510204071179
1548567087580849660,152,1548567087580637328,base_link,683202.207984,3110765.36767,58.5457839966,0.161755427718,0.0045634037815
1548567087630853869,153,1548567087630644332,base_link,683202.206568,3110765.36942,58.545841217,0.164237096906,0.00306122447364
1548567087680609737,154,1548567087680408060,base_link,683202.205108,3110765.37123,58.5459060669,0.168837964535,0.00102040811908
1548567087730620594,155,1548567087730405060,base_link,683202.203598,3110765.37307,58.5459403992,0.172344073653,0.00714285718277
1548567087780587269,156,1548567087780382075,base_link,683202.202038,3110765.37495,58.5459594727,0.17965169251,0.00645362725481
1548567087830588812,157,1548567087830380981,base_link,683202.200433,3110765.37689,58.5459976196,0.183412969112,0.0040816324763
1548567087881923112,158,1548567087880397160,base_link,683202.198808,3110765.37891,58.5460205078,0.187864407897,0.00684510590509
1548567087930602648,159,1548567087930408454,base_link,683202.22349,3110765.34797,58.5420837402,0.122450649738,0.0146100213751
1548567087980552011,160,1548567087980364156,base_link,683202.222384,3110765.34929,58.542011261,0.124771922827,0.00306122447364
1548567088030770712,161,1548567088030404936,base_link,683202.221242,3110765.35063,58.5419464111,0.127559706569,0.00306122447364
1548567088080919238,162,1548567088080410268,base_link,683202.220058,3110765.35202,58.5418510437,0.134243458509,0.00612244894728
1548567088130650150,163,1548567088130401943,base_link,683202.218865,3110765.35341,58.5417098999,0.131581500173,0.00144307501614
1548567088184670207,164,1548567088180372988,base_link,683202.217656,3110765.35479,58.5415649414,0.133364006877,0.00796964298934
1548567088230616946,165,1548567088230374701,base_link,683202.216397,3110765.35617,58.5413856506,0.135288625956,0.00102040811908
1548567088280638661,166,1548567088280458362,base_link,683202.215079,3110765.35757,58.5412483215,0.140691742301,0.00306122447364
1548567088332055792,167,1548567088330549722,base_link,683202.213726,3110765.359,58.5411643982,0.144956499338,0.00822679325938
1548567088380673334,168,1548567088380363439,base_link,683202.212306,3110765.36051,58.5410499573,0.151813864708,0.00204081623815
1548567088434562038,169,1548567088430604268,base_link,683202.210844,3110765.36208,58.5409355164,0.156293198466,0.00612244894728
1548567088480584459,170,1548567088480404124,base_link,683202.209324,3110765.36367,58.540802002,0.159468367696,0.00102040811908
1548567088530625819,171,1548567088530405123,base_link,683202.207799,3110765.36525,58.5406455994,0.159628167748,0.00822679325938
1548567088581488174,172,1548567088580381448,base_link,683202.20625,3110765.36685,58.5405311584,0.162190839648,0.0
1548567088630723921,173,1548567088630457903,base_link,683202.204659,3110765.36849,58.5404472351,0.166523098946,0.00144307501614
1548567088680624533,174,1548567088680421106,base_link,683202.202993,3110765.37014,58.5404319763,0.171473115683,0.00520308129489
1548567088730613937,175,1548567088730408253,base_link,683202.201273,3110765.37186,58.5404243469,0.178318038583,0.00510204071179
1548567088780672004,176,1548567088780472899,base_link,683202.199498,3110765.37362,58.5404243469,0.180443584919,0.00577230006456
1548567088830604497,177,1548567088830407568,base_link,683202.197712,3110765.37538,58.5404052734,0.182529971004,0.00204081623815
1548567088880644049,178,1548567088880412162,base_link,683202.19593,3110765.37721,58.5404052734,0.183108940721,0.0040816324763
1548567088931056556,179,1548567088930437784,base_link,683202.222037,3110765.34753,58.539226532,0.11805536598,0.00822679325938
1548567088980577691,180,1548567088980375954,base_link,683202.220832,3110765.3487,58.5391578674,0.123981036246,0.00577230006456
1548567089030705390,181,1548567089030371252,base_link,683202.219559,3110765.34992,58.5390815735,0.130110830069,0.00204081623815
1548567089080578171,182,1548567089080411227,base_link,683202.218231,3110765.35123,58.5390319824,0.13411654532,0.012413800694
1548567089133130631,183,1548567089130409051,base_link,683202.216914,3110765.35256,58.5389938354,0.13300332427,0.00288615003228
1548567089180542290,184,1548567089180371771,base_link,683202.215589,3110765.35387,58.5389556885,0.13521617651,0.00288615003228
1548567089230625477,185,1548567089230411167,base_link,683202.214261,3110765.35517,58.5389213562,0.134373053908,0.00144307501614
1548567089280646754,186,1548567089280409135,base_link,683202.212931,3110765.35646,58.5388221741,0.135095745325,0.00877788290381
1548567089331222894,187,1548567089330798368,base_link,683202.211545,3110765.35779,58.5387115479,0.140250265598,0.00306122447364
1548567089380564030,188,1548567089380376986,base_link,683202.210119,3110765.35913,58.5386199951,0.141656175256,0.00306122447364
1548567089430575562,189,1548567089430363205,base_link,683202.208703,3110765.36052,58.5385437012,0.144138038158,0.00306122447364
1548567089480600323,190,1548567089480383055,base_link,683202.207294,3110765.36193,58.5384597778,0.145887434483,0.00144307501614
1548567089530595802,191,1548567089530406737,base_link,683202.20584,3110765.3634,58.5383453369,0.150237396359,0.00288615003228
1548567089580581354,192,1548567089580369650,base_link,683202.204375,3110765.36488,58.5382041931,0.152961939573,0.00367913395166
1548567089633561730,193,1548567089630377028,base_link,683202.202866,3110765.36644,58.5380973816,0.158292114735,0.00367913395166
1548567089681024930,194,1548567089680410748,base_link,683202.201327,3110765.368,58.5379753113,0.157658696175,0.00918367411941
1548567089730609744,195,1548567089730409294,base_link,683202.199775,3110765.36955,58.5378456116,0.157536700368,0.00144307501614
1548567089780575261,196,1548567089780371488,base_link,683202.198177,3110765.37107,58.5376930237,0.161911353469,0.00612244894728
1548567089830648607,197,1548567089830403122,base_link,683202.196563,3110765.37262,58.5374984741,0.164168015122,0.0116344429553
1548567089880670122,198,1548567089880424387,base_link,683202.19491,3110765.37424,58.5372772217,0.167882889509,0.0045634037815
1548567089930754019,199,1548567089930515563,base_link,683202.221159,3110765.34633,58.5359840393,0.100423030555,0.00653380015865
1548567089980627612,200,1548567089980397056,base_link,683202.220109,3110765.34725,58.535736084,0.100413024426,0.00144307501614
1548567090030638870,201,1548567090030376155,base_link,683202.219023,3110765.34815,58.5355148315,0.100284218788,0.00735826790333
1548567090080586636,202,1548567090080407837,base_link,683202.217937,3110765.34904,58.5352897644,0.105652913451,0.00877788290381
1548567090130599496,203,1548567090130401483,base_link,683202.216806,3110765.35004,58.5350341797,0.112199239433,0.00420725019649
1548567090180574050,204,1548567090180371792,base_link,683202.215657,3110765.3511,58.534778595,0.114900164306,0.00594995124266
1548567090230607382,205,1548567090230380947,base_link,683202.214452,3110765.35217,58.5345306396,0.117483787239,0.00510204071179
1548567090280554159,206,1548567090280399434,base_link,683202.213226,3110765.35327,58.5342674255,0.119505152106,0.00510204071179
1548567090330683530,207,1548567090330401583,base_link,683202.212003,3110765.35439,58.5339393616,0.12065281719,0.0040816324763
1548567090380709978,208,1548567090380529382,base_link,683202.210719,3110765.35555,58.5336456299,0.126367986202,0.00742868334055
1548567090430617498,209,1548567090430381520,base_link,683202.209369,3110765.35675,58.533367157,0.132741123438,0.00735826790333
1548567090480768282,210,1548567090480528461,base_link,683202.207989,3110765.35799,58.5330505371,0.133995935321,0.00288615003228
1548567090530636771,211,1548567090530405877,base_link,683202.2066,3110765.35924,58.5327148438,0.133902162313,0.00102040811908
1548567090580607448,212,1548567090580433503,base_link,683202.205178,3110765.36045,58.5323829651,0.134161740541,0.00841450039297
1548567090630695894,213,1548567090630376823,base_link,683202.203742,3110765.36167,58.5320587158,0.13741452992,0.0077711972408
1548567090680656143,214,1548567090680379346,base_link,683202.202297,3110765.36294,58.5317573547,0.142367333174,0.00653380015865
1548567090732035982,215,1548567090730406535,base_link,683202.200826,3110765.36429,58.531463623,0.145659580827,0.00288615003228
1548567090783000405,216,1548567090780364049,base_link,683202.199315,3110765.3657,58.5311584473,0.151893928647,0.00432922504842
1548567090831238221,217,1548567090830710571,base_link,683202.197734,3110765.36717,58.5308303833,0.157002270222,0.00549506628886
1548567090880975263,218,1548567090880406976,base_link,683202.196109,3110765.36869,58.530506134,0.165863737464,0.0197073556483
1548567090930996219,219,1548567090930562333,base_link,683202.218579,3110765.3466,58.5320167542,0.110352419317,0.00306122447364
1548567090980578438,220,1548567090980403043,base_link,683202.217417,3110765.34764,58.5317192078,0.112173996866,0.00510204071179
1548567091031540640,221,1548567091031089618,base_link,683202.216236,3110765.34863,58.5314025879,0.109679043293,0.00204081623815
1548567091080587583,222,1548567091080410215,base_link,683202.215038,3110765.34967,58.5310707092,0.117117166519,0.0077711972408
1548567091130597835,223,1548567091130372318,base_link,683202.213795,3110765.35072,58.5307350159,0.11858318001,0.00612244894728
1548567091180578671,224,1548567091180400868,base_link,683202.212528,3110765.35178,58.5303878784,0.118729159236,0.00306122447364
1548567091230599468,225,1548567091230406298,base_link,683202.211264,3110765.35285,58.530040741,0.117773279548,0.00742868334055
